,Content,Author,Date,Language,Number of Likes,Number of Retweets,Author Name,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified
737,"top trending song here we go:

i’m so excited to listen to the new song #rushhour by #crush feat. #jhope of #bts      . (@bts_twt) https://t.co/qbpcdubxpj",@pa_ot7,2022-09-20 10:27:58,en,0.0,0.0,𝐏𝐚𝐨𝐓⁷ 🎭 𝑹𝒖𝒔𝒉 𝑯𝒐𝒖𝒓,8429.0,300.0,162.0,0.0,False
738,"@bts_for_ever8 please be our voice! #mahsa_amini⁩,the twenty two yo who was arrested and beaten by the""islamic moral security gestapo""of  iran's  islamic republic,passed away a few hours ago
she was arrested for""improper hijab!""
⁧ #مهسا_امینی⁩",@mcqrw,2022-09-20 10:27:58,en,0.0,0.0,m',355.0,35.0,6.0,0.0,False
739,@bts_shai @kangaarow and stay away from tiktok videos giving dating advice. 💜,@BeccaIsMe7177,2022-09-20 10:27:55,en,0.0,0.0,💜🐋🫰🏻Rebecca⁷ is part of the 90% ARMY ⟭⟬⟬⟭🐋💜,77445.0,6506.0,8553.0,37.0,False
740,@btstreampt @bts_twt i vote #sexynukim by #balmingtiger &amp; #rm of #bts (@bts_twt) as my hot trending song choice! 🔥,@tksofs,2022-09-20 10:27:55,en,0.0,0.0,Sof⁷,15795.0,721.0,414.0,2.0,False
741,"@philippinesongs @charlieputh @bts_twt @isabellannyn887 @kingjungkook97_ @jungkookph @jungkookph7 @bkkkkkkammm @jeonisthekey @tigerflowerjk97 left and right 💜
https://t.co/0hxrz3fzlp",@MainSingerJK,2022-09-20 10:27:55,en,0.0,0.0,ᄅᄅʟᴇꜰᴛ & ʀɪɢʜᴛ⇆⁸.⁷ᴹ🌍🔥,78784.0,559.0,502.0,1.0,False
742,@jinnieside listen to #yours_jin the best ost of 2021 and #supertuna_jin the global viral hit song by #btsjin #방탄소년단          (@bts_twt)  + rt,@luvbagyg,2022-09-20 10:27:54,en,0.0,0.0,𝐆𝖺𝗍𝗂𝗇𝗁𝖺⁷ | Rush Hour 🕑,3863.0,270.0,82.0,0.0,False
743,"run, you will always be one of the very best bts title tracks",@joonkooked,2022-09-20 10:27:54,en,1.0,0.0,bam fan acc 🏁,70869.0,465.0,578.0,10.0,False
744,@daily_jkupdate @bts_twt stream left and right #leftandright by #charlieputh featuring #jungkook of @bts_twt @charlieputh https://t.co/i00tfhmt0s,@egine_ocon,2022-09-20 10:27:52,en,0.0,0.0,Egine Lag Ria,152702.0,375.0,150.0,0.0,False
745,"@youazz7 actually 70%
i am so excited to listen to the new song #rushhour by #crush feat. #jhope of #bts    this sept 22nd (@bts_twt)
https://t.co/itqmifchgg",@tacandzerocik,2022-09-20 10:27:52,en,1.0,0.0,mamayi bala IN THE BOX⁷ ⁵,5993.0,479.0,276.0,1.0,False
746,@hecantescape suddenly you're a bts stan? ohh okay,@THEANNOYlNGONE,2022-09-20 10:27:52,en,0.0,0.0,ᴾʳᵒᵒᶠ⁷,3751.0,36.0,85.0,2.0,False
747,@btssomma @bts_twt we are excited for the release of the new song #rushhour by #crush featuring #jhope of #bts this sept 22nd (@bts_twt)!,@_bloom_18,2022-09-20 10:27:49,en,0.0,0.0,R⁷🏁,4824.0,251.0,42.0,0.0,False
748,"wts lfb bts pc ph

reply the pc you’re interested in and budget
rsf: no one will take care of them since i’m doing my internship abroad. 

🏷️ ic quitting sale bts photocards namjoon rm jin seokjin yoongi suga hobi jhope jimin v taehyung jk jungkook ph wts https://t.co/au51tjreuh",@bbearytannie,2022-09-20 10:27:49,en,3.0,2.0,A •ᴗ• quitting sale✨,13539.0,341.0,346.0,0.0,False
749,@cooelhota i am so excited to listen to the news song #rushhour feat. #jhope of #bts    this sept 22nd (@bts_twt),@mbAng3l,2022-09-20 10:27:48,en,0.0,0.0,𝘔𝘢𝘣𝘦𝘭 ⁷ ᵗᵉᵃᵐ ʰʸʸʰ,16144.0,639.0,534.0,6.0,False
750,@bts_bong_girl @agust_dilf_ @taevlvx whyd u both bring this on my tl 😭,@stay_away15,2022-09-20 10:27:47,en,0.0,0.0,star``⁷• ʳᵘˢʰ ʰᵒᵘʳ🏁,7111.0,934.0,645.0,0.0,False
751,@daily_jkupdate @bts_twt keep streaming #leftandright by #charlieputh featuring #jungkook of @bts_twt @charlieputh https://t.co/pdh9sc7s2s,@jk87776736,2022-09-20 10:27:46,en,0.0,0.0,jk 20110424,3720.0,28.0,4.0,0.0,False
752,@thehobiprint @bts_twt we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts     this sept 22nd (@bts_twt)!,@hobi218_HOSEOK,2022-09-20 10:27:46,en,0.0,0.0,☻ HOBiEMi ☻ 🗳,1055.0,59.0,36.0,0.0,False
753,"vote jin on tfma
yours truly supertuna

stream on youtube the best global k-drama ost #yours_jin and legendary song #supertuna_jin by #btsjin #seokjin 
@bts_twt https://t.co/jop1vmmuwu",@Shirley72935868,2022-09-20 10:27:45,en,0.0,0.0,Lovely Jin,66443.0,341.0,88.0,0.0,False
754,"bts sweater/ long sleeve idr 160.000 please
contact us for more details^^
https://t.co/qdt8vmydsx",@flowerykshop,2022-09-20 10:27:45,en,0.0,0.0,BTS GA? in Bio,116109.0,0.0,116.0,0.0,False
755,@flvrkoo u wouldnt like them but theyre both bts fics,@webtzy,2022-09-20 10:27:45,en,0.0,0.0,peter parker,7726.0,172.0,41.0,1.0,False
756,@agustjiji i’m listening to the hot trending song #withyou ost by #jimin #btsjimin of #bts    (@bts_twt) and sungwoon.,@Dudahh07091849,2022-09-20 10:27:43,en,0.0,0.0,Dudahh⁷💜✨,4081.0,683.0,53.0,0.0,False
757,@daily_jkupdate @bts_twt stream left and right #leftandright by #charlieputh and #jungkook of @bts_twt @charlieputh https://t.co/p8wmtpgnz3,@theJeons97,2022-09-20 10:27:43,en,0.0,0.0,JK 🔄 ²²,9685.0,75.0,15.0,0.0,False
758,"let's join 2000 ss guys !! 🔥🔥
streaming party for ""stay alive"" and ""left and right""

#leftandright by #charlieputh feat #jungkook  @bts_twt @charlieputh https://t.co/6tmsb9j9hj",@WhiteNGray_JK97,2022-09-20 10:27:43,en,0.0,0.0,Jungkook.97^°^ 🔥🌎,216793.0,72.0,353.0,5.0,False
759,@blockforv idk why some army need to follow those account when army fb are good at announcing any news related to bts they do update all news  that include bts and the block list the op mention is so useless,@jsjrjvj_007,2022-09-20 10:27:42,en,0.0,0.0,jk's♡⁷🧨,118030.0,379.0,351.0,0.0,False
760,"#jin #disney #walkingdead

kim seokjin
our shinning star jin
vote jin on tma

yours truly supertuna
#epiphany_jin
#epiphany_demo_jin
#moon_jin

always listening to #yours_jin and #supertuna_jin by  #방탄소년단진 #jin #btsjin #seokjin @bts_twt

https://t.co/a1omcaoc5g https://t.co/b5ww0e1r4n",@selfy_t,2022-09-20 10:27:42,en,1.0,0.0,Selfy T. S,47140.0,676.0,444.0,1.0,False
761,@papergem_art @bts_twt tataaa omg so lovelyyy😭😭💖💖💖,@LuvysHeart,2022-09-20 10:27:41,en,0.0,0.0,➮ʚLuvysHeartɞ⋆ ࣪𝆺𝅥 𝆭•♡,317.0,108.0,166.0,2.0,False
762,"this is so adorable 😍

@bts_twt did you guys see this?

#rm #jin #suga #jhope #jimin #taehyung #jungkook https://t.co/fhsfhnrml9",@Niv_Joe,2022-09-20 10:27:41,en,0.0,0.0,taekook 123 𐤀,2347.0,84.0,103.0,0.0,False
763,"@jinnieside always listening to #thatthat song by psy
 and #suga of @bts_twt. + rt",@luvbagyg,2022-09-20 10:27:41,en,0.0,0.0,𝐆𝖺𝗍𝗂𝗇𝗁𝖺⁷ | Rush Hour 🕑,3863.0,270.0,82.0,0.0,False
764,@bts_zerooclock oops🥹 hate train express toot toot!,@sugarcayl,2022-09-20 10:27:40,en,1.0,0.0,cayls⁷ 🏁rush hour is coming,14727.0,128.0,158.0,1.0,False
765,"@jayhoseok_ @bts_twt get ready for rush hour

we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts        this sept 22nd (@bts_twt)!

#rushhourftjhope l =",@Silya0294,2022-09-20 10:27:40,en,0.0,0.0,ⵙⵉⵍⵢⴰ⁷🤠 ʳᵘˢʰ ʰᵒᵘʳ🏁,29682.0,547.0,148.0,0.0,False
766,@charts_k @bts_twt alreadyy,@sevenunison,2022-09-20 10:27:40,en,0.0,0.0,h⁷🃏,51378.0,217.0,603.0,6.0,False
767,"🔗 ... ( #simpsatellitesteals ) ‘ ✳︎

       ?! wts lfb ph bts 

𓄴 proof standard nrpc

     ❕ ₱100 each ; ₱550 set
           can tingi hyung only
           dm for condi ◡̈

💭 read https://t.co/vaz0lh0h53 .ᐟ https://t.co/cwbzczzate",@simpsatellite,2022-09-20 10:27:40,en,0.0,0.0,ً★ ; ia,216.0,155.0,411.0,0.0,False
768,@thehobiprint @bts_twt we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts          this sept 22nd (@bts_twt)!,@TaeTaeyaos,2022-09-20 10:27:39,en,0.0,0.0,Noor⁷ Rush Hour 22/09 🪩🏁,30676.0,413.0,288.0,0.0,False
769,"@jayhoseok_ @bts_twt يجنننن 
we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts             this sept 22nd (@bts_twt)",@ARMYfor2021,2022-09-20 10:27:38,en,0.0,0.0,RM ⁷,1061.0,564.0,35.0,0.0,False
770,"@i4flowerhope amo demais da conta 😍rush hour teaser 2 
rush hour is coming 
i am so excited to listen to the news song #rushhour feat. #jhope of #bts         this sept 22nd (@bts_twt)",@Gilkaysar,2022-09-20 10:27:37,en,1.0,0.0,Gilhope⁷ 🐿 Rush Hour,11709.0,810.0,350.0,0.0,False
771,"@officialpnation ruah hour is coming!!

can’t wait !!!  🔥💜 soo exciteddd!!

i am so excited to listen to the new song #rushhour feat. #jhope of #bts        this sept 22nd (@bts_twt) https://t.co/sy5occqhw5",@0610proof_95,2022-09-20 10:27:37,en,0.0,0.0,⟭⟬KAT⁷||🏁⏱RUSH HOUR|| ia📚,25109.0,593.0,315.0,0.0,False
772,"@miinymoon rush hour teaser 2 
rush hour is coming 
i am so excited to listen to the news song #rushhour feat. #jhope of #bts        this sept 22nd (@bts_twt)",@dwilaffair,2022-09-20 10:27:37,en,0.0,0.0,emy⁷,4486.0,182.0,53.0,1.0,False
773,be our voice @bts_twt @shawnmendes @harry_styles @niallofficial @zaynmalik @louis_tomlinson @liampayne @halsey @dualipa @billieeilish @emmawatson @leodicaprio @aoc @taylorswift13 @naomicampbell @bellahadid @karliekloss @britneyspears @beberexha @iamcardib #مهسا_امینی #mahsaamini https://t.co/djizwnhhqg,@0Aynaz,2022-09-20 10:27:36,en,1.0,1.0,A6ydud8,560.0,75.0,22.0,0.0,False
774,@daily_jkupdate @bts_twt stream left and right #leftandright by #charlieputh featuring #jungkook of @bts_twt @charlieputh https://t.co/ixxr7rkti6,@egine_ocon,2022-09-20 10:27:35,en,0.0,0.0,Egine Lag Ria,152702.0,375.0,150.0,0.0,False
775,"@ate_bts_army #mahsaamini twenty-two yo iranian girl is brutally killed by sharia police in iran.
#مهسا_امینی 
ده",@xemptymarsx,2022-09-20 10:27:35,en,0.0,0.0,EŁI⁷,4061.0,1674.0,1087.0,0.0,False
776,@thehobiprint @bts_twt we can’t wait for the release of the new song #rushhour by #crush featuring #jhope of #bts     this sept 22nd (@bts_twt)!,@hobi218_HOSEOK,2022-09-20 10:27:34,en,0.0,0.0,☻ HOBiEMi ☻ 🗳,1055.0,59.0,36.0,0.0,False
777,@bts_thv_95v i'm just not feeling well i gues:/,@Misel18708591,2022-09-20 10:27:34,en,0.0,0.0,amazingmia789,7.0,16.0,0.0,0.0,False
778,"@daily_jkupdate @bts_twt stream left and right #leftandright by #charlieputh and #jungkook of @bts_twt @charlieputh
2 https://t.co/8cnkxn8kfr",@sally31287,2022-09-20 10:27:33,en,0.0,1.0,sally©︎321JJST🇯🇵,16298.0,152.0,111.0,5.0,False
779,@charts_k @bts_twt what,@sevenunison,2022-09-20 10:27:33,en,0.0,0.0,h⁷🃏,51378.0,217.0,603.0,6.0,False
780,"@officialpnation aaahh...uri j-hope is so cute 😍👏

i am so excited to listen to the news song #rushhour feat. #jhope of #bts  this sept 22nd (@bts_twt)",@Minhasol7,2022-09-20 10:27:31,en,0.0,0.0,Minhasol ⁷ ᴾʳᵒᵒᶠ | Joon Day 🌱📚🖼️😎,7774.0,116.0,56.0,0.0,False
781,@proof_twt_bts you all are defending yourself rather than focusing on actual issue or thinking about your fave' privacy. op' target audience was everyone who will use it in fanwar not just army . why it is so hard to understand?,@jenniesexsua1,2022-09-20 10:27:30,en,0.0,0.0,Hri,14536.0,328.0,387.0,1.0,False
